reviewId,asin,book,source,date,rating,verified,helpfulVotes,author,title,text,format,vine,flag
RBJ8CG24ENSWS,1734262419,Stopping Kidney Disease Basics,junglee,2025-08-19,5,True,1,Diane Blevins,It was a simple book that explained kidney disease.,"It was a good book that explains information about kidney disease and if you read it, follow a kidney friendly diet and also read some of the useful information about kidney disease on the internet, it will help you live with kidney disease.",Format: Paperback,False,
R3338RVCZZZT6K,1734262419,Stopping Kidney Disease Basics,junglee,2025-08-09,5,True,0,,Not damaged delivered to door Beats fed ex,Great book Any info so quickly faster our library,Format: Paperback,False,
RKF4FKH8BVJ42,1734262419,Stopping Kidney Disease Basics,junglee,2025-08-01,2,True,3,MJ,not impressed,Over and over it says to be blah blah to be educated...,Format: Paperback,False,
R121K6TK82IVIU,1734262419,Stopping Kidney Disease Basics,junglee,2025-06-23,1,True,0,Lorrie V.,Not for the average joe,Too technical,Format: Paperback,False,
R33ERGO3KKSBYH,1734262419,Stopping Kidney Disease Basics,junglee,2025-04-14,5,True,2,,"Be your own CKD advocate, or else.","This book was delivered quickly, and upon opening and reviewing the book, I have found the information relating to my diagnosis of CKD hopeful and encouraging. My primary doctor offers no information on what nor how I can lessen the progress of CKD. While I am aware there's no cure, but there seems to be a way to lessen the disease progression.",Format: Paperback,False,
R6X7EVMS64B7I,1734262419,Stopping Kidney Disease Basics,junglee,2025-03-07,3,True,11,Amazon Customer,Book is mostly promoting two supplements.,"This book has some good information, but most of the book promotes two supplements to take for Kidney disease. Albutrix and Microtrix. These supplements are very expensive. Personally, I don't think enough research or clinical trials have been done on these.",Format: Paperback,False,
R21585CO8V3IHS,1734262419,Stopping Kidney Disease Basics,junglee,2025-02-20,5,True,1,,Great information.,Provided pertinent info that I needed. Good information,Format: Paperback,False,
R3LKIZ9OD44KA4,1734262419,Stopping Kidney Disease Basics,junglee,2024-09-02,1,True,5,SFB,disappointed in hte lack of information,This title served more as an ad for a product rather than info on kidney disease.,Format: Paperback,False,
R3TMMO1YWRH8RY,1734262419,Stopping Kidney Disease Basics,junglee,2024-08-21,5,True,2,,Must read,"Very great book. Educational, information, easy to understand",Format: Paperback,False,
R1E0ZXGB63KCPF,1734262419,Stopping Kidney Disease Basics,junglee,2024-07-22,2,True,3,Freda Gaddy,Not what I needed,The book doesn't have much useful information...,Format: Paperback,False,
RDUK4MR3RG6R4,1734262419,Stopping Kidney Disease Basics,junglee,2024-03-18,5,True,0,,Great Book,Great information and recommendations.,Format: Paperback,False,
