reviewId,asin,book,source,date,rating,verified,helpfulVotes,author,title,text,format,vine,flag
R16HS1WDS7OZKG,B0DM96NVSX,Evidence-Based Guide to Kidney and Renal Diets,junglee,2026-02-23,5,True,0,Vee jo,"Delivery as requested.,","Excellent information, great research..",Format: Paperback,False,
RM5DWWNYKOS5Q,B0DM96NVSX,Evidence-Based Guide to Kidney and Renal Diets,junglee,2026-02-19,1,True,0,,Doctors Were The Most Successful Out Of Anyone Who Use These Specific Tools,"That along was enough for me to pass on and not look any further. Because if this group who has the ability to have an advantage that most people, what's the point to your research for others unlike yourselves.",Format: Kindle,False,
R3MVBKEP41T3TF,B0DM96NVSX,Evidence-Based Guide to Kidney and Renal Diets,junglee,2026-01-06,5,True,0,Troy Shoemaker,Great resource,There's so much information in this book everyone with CKD should buy this book.,Format: Paperback,False,
R1G1T482FD26I7,B0DM96NVSX,Evidence-Based Guide to Kidney and Renal Diets,junglee,2025-12-19,5,True,0,nancy carrillo,He has more books of interest,"Very informative, I needed that.",Format: Paperback,False,
R3CD9XJWKXKB9K,B0DM96NVSX,Evidence-Based Guide to Kidney and Renal Diets,junglee,2025-09-07,5,True,3,Peter Rogers MD,Lee Hull is a very smart guy.,Lee Hull is smart and really trying to help people. He has been through the process of treating his own ckd as he describes in his books,Format: Paperback,False,
R2NY3JZVL7T4YU,B0DM96NVSX,Evidence-Based Guide to Kidney and Renal Diets,junglee,2025-09-05,2,True,1,,Understanding,Wasn't quite as easy to understand,Format: Paperback,False,
R41FES3HKBUOK,B0DM96NVSX,Evidence-Based Guide to Kidney and Renal Diets,junglee,2025-08-31,5,True,6,J. Cranford,Easy to understand and a great guide,"I had researched the topic, and the author was very thorough. Easy to read, but best of all the information tracked what my nephrologist recommended already. The information did improve my lab results and will give you the confidence to make better dietary decisions. That goes a long way in staying on a strict kidney friendly diet. My eGFR was dramatically improved over a 6 month period. As always, check with your doctors before making any changes in your treatment plan.",Format: Paperback,False,
R27R5B4CA7XXK3,B0DM96NVSX,Evidence-Based Guide to Kidney and Renal Diets,junglee,2025-08-16,5,True,6,bhiker,Excellent factual guide to KCD.,One of the only true factual guides to chronic Kidney disease Information,Format: Paperback,False,
RYU4U4CWYQVPH,B0DM96NVSX,Evidence-Based Guide to Kidney and Renal Diets,junglee,2025-07-20,5,True,3,marggy,Very very strict diet.,Everything you need to know about a diet for kidney disease.,Format: Paperback,False,
R1MTTP1PPWVKRC,B0DM96NVSX,Evidence-Based Guide to Kidney and Renal Diets,junglee,2025-06-16,5,True,11,Vchip,Get all of his books. His concepts work if you work them.,"If you have CKD Lee Hull's books will be a life changer IF you follow his advice. eFGR 52 May 2024. Big surprise to me I'd been 62-70 for the past 4 years my doc never mentioned a thing. I was already in stage 2. In the fall I started seeing a kidney dietician and went on a more plant based diet, she was nice but really not that much help. I saw a nephrologist in December who put me on Farizga (very expensive). I then found Lee's books. Changed my eating plan completely and went from 59 in October to 64 in Feb to 71 in June 6 2025. Stopped the Farziga in Feb since I was getting side effects and did not need it. YES you do need dramatic changes and as someone who also has CKD said to me I don't like vegetables and don't care if I live longer. Well I'm 74 and i want to live till my 90''s and see my Grandkids grow up. If no meat and a very low protein diet keeps me off dialysis and healthy it's worth it to me. Like most things it's always up to the individual to make and follow his decisions.",Format: Paperback,False,
R9SNT9R6UO14H,B0DM96NVSX,Evidence-Based Guide to Kidney and Renal Diets,junglee,2025-04-11,5,True,3,Snowbound,Helpful book,"If you have to have CKD, it's good to have a few resources to make sure you understand your numbers, your symptoms and all about this disease. This is a very comprehensive book.",Format: Paperback,False,
R2K6P4Q3X1XFG0,B0DM96NVSX,Evidence-Based Guide to Kidney and Renal Diets,junglee,2025-03-06,5,True,3,Wonderful cream,Very helpful book,"Good information, very helpful, easy to understand. Has simple recipes.",Format: Paperback,False,
RVWEF8FKA7D6O,B0DM96NVSX,Evidence-Based Guide to Kidney and Renal Diets,junglee,2025-02-28,5,True,6,Diahla,Best Kidney advice,This book is good for getting you to a point where you can make a sound decision to get and keep your diet clean and how to do it the right way.,Format: Paperback,False,
