reviewId,asin,source,date,rating,verified_purchase,helpful_votes,author,title,body,format,star_filter
R1GBPRYQ8FZ9WF,0692901159,apify,2026-03-11,5,True,0,Mitzi,Reliable book,"Good book, information.",Format: Paperback,five_star
R1AXSCQYXH9WEW,0692901159,apify,2026-02-05,1,True,1,Stephanie Sherman,No help,Way too detailed Need a medical degree to comprehend,Format: Paperback,one_star
R2T6TBO8MP6EZ8,0692901159,apify,2026-01-02,1,True,1,jacks51,Book,Wasn't easy to understand terminology,Format: Paperback,one_star
RY4UWFVJ6T4NB,0692901159,apify,2025-12-30,4,True,0,Galen Tinder,Lots of research.,"I was recently diagnosed with stage three kidney disease. If you want to delve into the research behind this multifaceted illness, this is a book for you. It is well done and informative, but if newly diagnosed, it is not the first one to read.",Format: Paperback,four_star
R2LHO7B7P5C7VY,0692901159,apify,2025-12-19,5,True,0,joe m.,This is the one to get,Have CKD? You need this book even if you have a great specialist. Quite detailed,Format: Paperback,five_star
RX6RP62313UY6,0692901159,apify,2025-10-31,1,True,0,Amazon Customer,Great book,Very informative,Format: Paperback,one_star
RLZXZ9URGHK3I,0692901159,apify,2025-08-04,5,True,4,joe riordan,Save your kidneys this book saved mine,I raised my eGFR from 45 to 62 in 6 months by following this book.,Format: Paperback,five_star
R30HX3HL0HPDJJ,0692901159,apify,2025-05-26,3,True,0,Jerry DePriest,Too technical,Not an easy read,Format: Paperback,three_star
R2XXEC6AJ23F36,0692901159,apify,2025-04-17,5,True,0,Eve Dallas,Easy to follow,Very informative,Format: Paperback,five_star
R2GTGP5K9HS2OB,0692901159,apify,2025-04-11,5,True,0,John Sikut,A good book about kidney disease,Goes into pretty good detail,Format: Paperback,five_star
RHMVJUN7VR7QR,0692901159,apify,2025-02-09,4,True,0,Susan W.,good health information,just received this and I like it so far. I am anxious to use the recipes,Format: Paperback,four_star
R19FH7A7TW5V2F,0692901159,apify,2025-02-03,1,True,2,Ann C,Not for the lay person,Too technical for an average person.,Format: Paperback,one_star
R38NWWUR2LO2F3,0692901159,apify,2025-01-29,5,False,0,Pamela. L. Borek,Review,Very. Informative. Good starting point to educate a new kidney disease patient.,Format: Paperback,five_star
R24TRKA2OM0EUE,0692901159,apify,2024-09-14,5,True,5,Sandra B,Did its job,"I took these for one month and drank cranberry juice and waters , my GFR levels went from 56 to 70 !",Format: Paperback,five_star
R2PTPPQNRYENPM,0692901159,apify,2024-07-21,4,True,0,Terry,Informative book,Very good read for people with kidney failure!,Format: Paperback,four_star
RBGPTJNVBYPET,0692901159,apify,2024-05-06,3,True,3,CFvistaCA,Too Many Pages,"The cover said it has a ""Science based diet plan"". There isn't really an organized daily plan. But, there is some good information. But, I don't highly recommend it because it's just simply way too too too much information. The reader has to read dozens of pages before extrapolating the helpful suggestions.",Format: Paperback,three_star
R23R9LTYXI0GDE,0692901159,apify,2024-04-08,5,True,1,Mrlunker,well written,This book is a must read for ckd patients ! Its loaded with very useful information and is well referenced !,Format: Paperback,five_star
RL9GW1KBJKV4N,0692901159,apify,2024-02-29,1,True,5,dick3doxies,cannot read without magnifying glass,Huge book. Plenty of information I'm sure but the font is so small that I cannot read it. I am 78 years old and wear reading glasses and still can't read it. Book is useless to me and I will be returning it,Format: Paperback,one_star
RWD4VAAZ2Q1LA,0692901159,apify,2024-02-08,3,True,4,Karen W.,"Seller is good, but the book is not what I hoped for.",It is a book that doctors would use. It is not for the lay person. The seller did everything correct. It is the book I don't like. It would make a good door stop. It is huge and heavy with small print.,Format: Paperback,three_star
RTT5ML4Q2Y5JR,0692901159,apify,2024-01-15,1,False,3,Book is an ad for author’s supplement. This is not a trustworthy source of information for those of us struggling with CKD.,Scam book,The author is promoting his supplement. This is not a trustworthy source of information for those of us struggling with CKD.,Format: Paperback,one_star
R1SJJ3353QPNBO,0692901159,apify,2023-12-17,2,True,22,,Extreme Caution - Very Low Protein is only maybe for very late stage CKD-,"This writer is NOT a doctor, and especially NOT a Kidney Doctor. He is selling a product. I'm glad I kept seeking answers because this Very Low Protein diet is (maybe) only if you are about to go on dialysis. At the early stages this diet can harm our health unnecessarily. 'Learn the facts about kidney disease"", sold here on Amazon is highly recommended, written by Dr. Steven Ro. . . md. Also, dadvice on youtube hosts this doctor once a month live and he gives a talk and then does live Q and A. What I have learned is that ckd is very complex info, but regular doctors don't really know it deeply, and you don't get a referral until late stage. GFR is a number from a blood test, a guide. But the most important thing to know is if you have protein in your urine - because that means the kidney is damaged no matter what the gfr. Also, if you are older then it's normal to have a lower gfr. The risks of ckd is it often causes artery disease and heart attacks and strokes. So often very safe blood pressure meds help prevent damage. As to diet, it seems that a plant based Pattern of diet - like the Mediterranean etc. is very helpful. So, lots of fruits veggies, beans, whole grain, low saturated fat animal protein, fatty fish, good oils and nuts etc. Dietary protein is not the same as protein in urine. This other doctor says that if you have diabetes - a major cause of kidney disease and you eat the Very Low Protein with the amino (this book), it will be very bad for your health. He recommends 60 to 80 grams a day protein, as Americans eat too much. Also, if you have protein in urine, low salt helps. Restricting potassium, phosphorous etc as written in this book, is ONLY for the latter stages Stage 4 and Stage 5. At these stages you will get a referral to a specialized kidney doctor, and a dietician. I rarely give reviews, but I wanted to help other people navigate thru learning about kidney disease. Best of luck, try the other book first, and utube of ACTUAL kidney doctors (I've found 2 0r 3 that are very good) - NOT people selling supplements or who aren't medical experts on Kidneys specifically.",Format: Paperback,two_star
R3SOHOX77K15MX,0692901159,apify,2023-12-01,5,True,0,AKK,Helpful information.,Lots of helpful information.,Format: Paperback,five_star
RU7FDSDF7LW8P,0692901159,apify,2023-10-27,4,True,1,W. Williams,A Great Starting Point In Learning MOre about KidneyDisease,"Prompt arrival, well packed, author supports his words with research. Kidney disease is an invisible epidemic. If you have it, do what you can to improve your diet; your kidneys will thank you.",Format: Paperback,four_star
RIS2FMHSEVVOG,0692901159,apify,2023-10-20,5,True,1,Christopher Long,Excellent material/ High quality!,The material is like a medical journal. I highly recommend if you are serious about reducing/eliminating kidney disease.,Format: Paperback,five_star
R3CFV9LHCVL5Q3,0692901159,apify,2023-09-04,5,True,1,Will Shakespeare,Amazing Breakthrough,This book is an amazing collection of advice on treating kidney disease backed up by science...No guessing here on the advice to help heal your kidneys.,Format: Kindle,five_star
R2XP5J1N6QEV32,0692901159,apify,2023-05-20,5,True,0,Elaine Schroder,living with kidney disease,The only kidney disease book I need.,Format: Spiral-bound,five_star
R2VTULSV0ZGGWE,0692901159,apify,2023-03-25,1,True,0,Amazon Customer,Overload,"Overwhelming facts and figures. Not for the feint hearted or those looking for straight forward do's, dont's and hints for life style changes. Sent back. I'm a health care professional and I'll never have the patience, time or stamina to read it!",Format: Paperback,one_star
R1I3PEPIPHN1LB,0692901159,apify,2023-03-21,5,True,2,Amazon Customer,Read all three books,I agree with fighting killing disease by educating yourself. That’s why it’s so important to read all three books. I recommend all three books to fight kidney disease..,Format: Paperback,five_star
R1QY9NX4P98W54,0692901159,apify,2023-03-20,1,True,15,William,DO NOT BUY,Author admits this book is poorly written and he gives no answers. Summary: Eat an alkaline diet of fruits and vegetables. That's the book with lots of nothing.,Format: Paperback,one_star
RCVURUHGTVE4M,0692901159,apify,2023-01-24,4,True,9,Amazon Customer,Very scientific with References,"I like to analyze and be informed. Recently diagnosed with Stage 3 Kidney Disease in November. Not efficiently summarized for lay person and I needed to breakdown information and summarize and presented to friends with only about 50 pages. Using this information and Keto Diet information I have reversed Kidney Disease to Stage 2 and lost 25 pounds in 3 months. It’s all about diet. Didn’t know I had so much waste or uremic acid in bloodstream from excessive eating! It was too much for kidneys to expel. Next time you see someone with fat belly or swollen eyelids or swollen areas below eyes, think about what it could mean. Uremic acid can circulate in brain and cause dementia. It’s all about what and how much you eat! I’m guilty!",Format: Paperback,four_star
R32R678LTNCSNC,0692901159,apify,2023-01-06,5,True,2,Kathleen A Reichel,This book is a Godsend to me!,This book showed me how easy it is to put all of the necessary elements together to put my kidney disease into the real possibility of remission I thank Mr. Hull taking the time to share his experiences and knowledge with all of us. I feel he has really helped me to saved my life. Thank you,Format: Kindle,five_star
RZZ9LNDVHH75R,0692901159,apify,2022-12-25,4,True,0,Christine W.,Very informative,Very informative.,Format: Paperback,four_star
R344JWPBBRC0G7,0692901159,apify,2022-12-23,5,True,2,Barb Henderson,Super informative,My wish after reading this book is that someone would have explained ALL the ramifications of diabetes and high blood pressure. This book is scientific evidence that 99% of the time diet can help heal the kidneys to some extent.,Format: Kindle,five_star
R26HYSL35EE2CC,0692901159,apify,2022-11-28,5,True,0,Josephine H. Stockton,I haven't finish reading it yet,Seemed very detail but I haven't had a chance to read much yet.,Format: Paperback,five_star
